# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 23751808510
#
# Overhead,     Samples,      Period,Command        ,Shared Object       ,Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,IPC   [IPC Coverage]
 0.11%  , 5          , 26040864   ,claude         ,cc-diagnostic       ,[.] perry_runtime::object::shapes::move_shape_family                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,-      -            
 0.11%  , 5          , 26021191   ,claude         ,cc-diagnostic       ,[.] perry_runtime::object::class_registry::parent_static::lookup_class_method_in_chain                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,-      -            
 0.11%  , 6          , 25930998   ,claude         ,cc-diagnostic       ,[.] perry_runtime::object::field_set_by_name::tail::set_field_by_name_object_tail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,-      -            
 0.11%  , 5          , 25877510   ,cc-diagnostic  ,cc-diagnostic       ,[.] js_object_get_field                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.11%  , 5          , 25849204   ,claude         ,cc-diagnostic       ,[.] <perry_runtime::object::shapes::shapes_slot_list::SlotIndex>::insert                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,-      -            
 0.11%  , 5          , 25798305   ,claude         ,cc-diagnostic       ,[.] perry_runtime::object::field_get_set::accessors::default_object_prototype_property_value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-      -            
 0.11%  , 5          , 25789372   ,claude         ,cc-diagnostic       ,[.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&char>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-      -            
 0.11%  , 5          , 25785529   ,claude         ,cc-diagnostic       ,[.] perry_runtime::gc::trace::try_mark_value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-      -            
 0.11%  , 5          , 25707901   ,claude         ,cc-diagnostic       ,[.] js_segments_project_segment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.11%  , 5          , 25670295   ,claude         ,cc-diagnostic       ,[.] js_to_primitive                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,-      -            
 0.11%  , 5          , 25339120   ,cc-diagnostic  ,cc-diagnostic       ,[.] mi_theap_malloc_aligned                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.11%  , 5          , 25321476   ,claude         ,cc-diagnostic       ,[.] perry_runtime::object::spill::overflow_get                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,-      -            
 0.11%  , 5          , 25295411   ,claude         ,cc-diagnostic       ,[.] perry_runtime::gc::layout_tables::layout_key_may_be_nursery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.11%  , 5          , 25165670   ,claude         ,cc-diagnostic       ,[.] <perry_runtime::regex::site_key::WeakPrograms>::upgrade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.10%  , 16         , 24239459   ,claude         ,cc-diagnostic       ,[.] <hashbrown::raw::RawTable<(usize. perry_runtime::object::shapes::ShapeIndex)>>::reserve_rehash::<hashbrown::map::make_hasher<usize. perry_runtime::object::shapes::ShapeIndex. perry_runtime::fast_hash::PtrHasher>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,-      -            
 0.10%  , 5          , 23345633   ,cc-diagnostic  ,cc-diagnostic       ,[.] perry_runtime::closure::dynamic_props::merge_closure_prop_map                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,-      -            
 0.09%  , 4          , 21421628   ,claude         ,cc-diagnostic       ,[.] perry_runtime::gc::verify::remember_retained_old_to_young_slots                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,-      -            
 0.09%  , 4          , 21386671   ,cc-diagnostic  ,cc-diagnostic       ,[.] js_put_value_set_dyn_ic_miss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,-      -            
 0.09%  , 4          , 21362318   ,claude         ,cc-diagnostic       ,[.] perry_runtime::gc::trace::classifier_valid_object_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.09%  , 4          , 21249235   ,claude         ,cc-diagnostic       ,[.] js_typed_feedback_class_field_set_guard                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.09%  , 4          , 21248757   ,cc-diagnostic  ,cc-diagnostic       ,[.] perry_runtime::object::field_set_by_name::tail::set_field_by_name_object_tail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,-      -            
 0.09%  , 4          , 21216191   ,claude         ,cc-diagnostic       ,[.] <perry_runtime::object::shapes::shapes_store::ShapeSlab>::insert                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,-      -            
 0.09%  , 4          , 21187553   ,cc-diagnostic  ,cc-diagnostic       ,[.] js_array_alloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-      -            
