# runtime_symbol	result_kind	provider_source	provider_return
js_node_http_res_set_header_self	NR_GCPTR	crates/perry-ext-http/src/server/response.rs	i64
js_node_http_res_set_headers	NR_GCPTR	crates/perry-ext-http/src/server/response.rs	i64
js_node_http_res_set_timeout	NR_GCPTR	crates/perry-ext-http/src/server/response.rs	i64
js_node_http_server_listen	NR_GCPTR	crates/perry-ext-http/src/server/server.rs	i64
js_node_http_server_ref	NR_GCPTR	crates/perry-ext-http/src/server/server.rs	i64
js_node_http_server_set_timeout_method	NR_GCPTR	crates/perry-ext-http/src/server/server.rs	i64
js_node_http_server_unref	NR_GCPTR	crates/perry-ext-http/src/server/server.rs	i64
js_node_https_create_server	NR_GCPTR	crates/perry-ext-http/src/server/https_server.rs	i64
js_node_https_server_listen	NR_GCPTR	crates/perry-ext-http/src/server/https_server.rs	i64
js_node_https_server_ref	NR_GCPTR	crates/perry-ext-http/src/server/https_server.rs	i64
js_node_https_server_set_timeout_method	NR_GCPTR	crates/perry-ext-http/src/server/https_server.rs	i64
js_node_https_server_unref	NR_GCPTR	crates/perry-ext-http/src/server/https_server.rs	i64
js_node_sqlite_database_sync_call	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_db.rs	Handle
js_node_sqlite_database_sync_create_session	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	Handle
js_node_sqlite_database_sync_create_tag_store	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_tag_store.rs	Handle
js_node_sqlite_database_sync_limits	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	Handle
js_node_sqlite_database_sync_prepare	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_db.rs	Handle
js_node_sqlite_database_sync_serialize	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_db.rs	*mut BufferHeader
js_node_sqlite_session_call	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	Handle
js_node_sqlite_session_changeset	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	*mut BufferHeader
js_node_sqlite_session_patchset	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	*mut BufferHeader
js_node_sqlite_sql_tag_store_all	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_tag_store.rs	*mut ArrayHeader
js_node_sqlite_sql_tag_store_db	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_tag_store.rs	Handle
js_node_sqlite_sql_tag_store_run	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_tag_store.rs	*mut ObjectHeader
js_node_sqlite_statement_sync_all	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	*mut ArrayHeader
js_node_sqlite_statement_sync_call	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	Handle
js_node_sqlite_statement_sync_columns	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	*mut ArrayHeader
js_node_sqlite_statement_sync_run	NR_GCPTR	crates/perry-stdlib/src/sqlite/node_stmt_session.rs	*mut ObjectHeader
js_node_stream_method_event_names	NR_GCPTR	crates/perry-runtime/src/node_stream_event_emitter.rs	i64
js_node_stream_method_listeners	NR_GCPTR	crates/perry-runtime/src/node_stream_event_emitter.rs	i64
js_node_stream_method_raw_listeners	NR_GCPTR	crates/perry-runtime/src/node_stream_event_emitter.rs	i64
js_nodemailer_send_mail	NR_GCPTR	crates/perry-ext-nodemailer/src/lib.rs	*mut Promise
js_nodemailer_verify	NR_GCPTR	crates/perry-ext-nodemailer/src/lib.rs	*mut Promise
js_os_user_info_options	NR_GCPTR	crates/perry-runtime/src/os.rs	*mut ObjectHeader
js_perry_embedded_files	NR_GCPTR	crates/perry-runtime/src/embedded.rs	*mut crate::array::ArrayHeader
js_perry_read_embedded	NR_NULLABLE_GCPTR	crates/perry-runtime/src/embedded.rs	*mut crate::buffer::BufferHeader
js_perry_tui_animated_spinner	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_box	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_input	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_input_at	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_list	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_progress_bar	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_select	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_spacer	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_spinner	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_state_alloc	NR_HANDLE_ID	crates/perry-runtime/src/tui/state.rs	i64
js_perry_tui_table	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_tabs	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_text	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_text_area	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_text_styled	NR_HANDLE_ID	crates/perry-runtime/src/tui/ffi.rs	i64
js_perry_tui_use_app	NR_HANDLE_ID	crates/perry-runtime/src/tui/hooks.rs	i64
js_perry_tui_use_focus_manager	NR_HANDLE_ID	crates/perry-runtime/src/tui/hooks.rs	i64
js_perry_tui_use_ref	NR_HANDLE_ID	crates/perry-runtime/src/tui/hooks.rs	i64
js_perry_tui_use_state_tuple	NR_GCPTR	crates/perry-runtime/src/tui/hooks.rs	i64
js_perry_tui_use_stdout	NR_HANDLE_ID	crates/perry-runtime/src/tui/hooks.rs	i64
js_pg_client_connect	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_pg_client_end	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_pg_client_query	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_pg_connect	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_pg_create_pool	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_pg_pool_end	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_pg_pool_query	NR_GCPTR	crates/perry-ext-pg/src/lib.rs	*mut Promise
js_process_event_names	NR_GCPTR	crates/perry-runtime/src/os/os_process_emitter.rs	*mut ArrayHeader
js_process_listeners	NR_GCPTR	crates/perry-runtime/src/os/os_process_emitter.rs	*mut ArrayHeader
js_process_raw_listeners	NR_GCPTR	crates/perry-runtime/src/os/os_process_emitter.rs	*mut ArrayHeader
js_querystring_parse	NR_GCPTR	crates/perry-stdlib/src/querystring.rs	*mut ObjectHeader
js_querystring_unescape_buffer	NR_GCPTR	crates/perry-stdlib/src/querystring.rs	*mut BufferHeader
js_readline_create_interface	NR_HANDLE_ID	crates/perry-stdlib/src/readline/mod.rs	i64
js_readline_get_cursor_pos	NR_GCPTR	crates/perry-stdlib/src/readline/mod.rs	i64
js_readline_iterator	NR_HANDLE_ID	crates/perry-stdlib/src/readline/mod.rs	i64
js_readline_pause	NR_HANDLE_ID	crates/perry-stdlib/src/readline/mod.rs	i64
js_readline_resume	NR_HANDLE_ID	crates/perry-stdlib/src/readline/mod.rs	i64
js_sharp_auto_orient	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_avif	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_blur	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_composite	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_extend	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_extract	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_flip	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_flop	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_from_input	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_grayscale	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_jpeg	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_metadata	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	*mut Promise
js_sharp_png	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_resize	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_rotate	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_sharpen	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_to_buffer	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	*mut Promise
js_sharp_to_file	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	*mut Promise
js_sharp_trim	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sharp_webp	NR_GCPTR	crates/perry-ext-sharp/src/lib.rs	Handle
js_sqlite_open	NR_GCPTR	crates/perry-ext-better-sqlite3/src/lib.rs	Handle
js_sqlite_prepare	NR_GCPTR	crates/perry-ext-better-sqlite3/src/lib.rs	Handle
js_sqlite_stmt_all	NR_GCPTR	crates/perry-ext-better-sqlite3/src/lib.rs	*mut ArrayHeader
js_sqlite_stmt_raw	NR_GCPTR	crates/perry-ext-better-sqlite3/src/lib.rs	Handle
js_sqlite_stmt_run	NR_GCPTR	crates/perry-ext-better-sqlite3/src/lib.rs	*mut ObjectHeader
js_tls_create_server	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_server_close	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_server_listen	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_server_on	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_server_once	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_server_remove_all_listeners	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_server_remove_listener	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_tls_tlssocket_constructor	NR_HANDLE_ID	crates/perry-stdlib/src/tls.rs	i64
js_u8_from_base64	NR_GCPTR	crates/perry-runtime/src/buffer/u8_codec.rs	*mut BufferHeader
js_u8_from_hex	NR_GCPTR	crates/perry-runtime/src/buffer/u8_codec.rs	*mut BufferHeader
js_undici_agent_new	NR_GCPTR	crates/perry-ext-undici/src/lib.rs	Handle
js_undici_get_global_dispatcher	NR_GCPTR	crates/perry-ext-undici/src/lib.rs	Handle
js_undici_proxy_agent_new	NR_GCPTR	crates/perry-ext-undici/src/lib.rs	Handle
js_ws_connect	NR_GCPTR	crates/perry-ext-ws/src/lib.rs	*mut perry_ffi::Promise
js_ws_on	NR_GCPTR	crates/perry-ext-ws/src/lib.rs	i64
js_ws_on_client_i64	NR_GCPTR	crates/perry-ext-ws/src/lib.rs	i64
js_ws_server_new	NR_GCPTR	crates/perry-ext-ws/src/server.rs	Handle
js_zlib_brotli_compress_sync	NR_GCPTR	crates/perry-ext-zlib/src/stream.rs	*mut BufferHeader
js_zlib_brotli_decompress_sync	NR_GCPTR	crates/perry-ext-zlib/src/stream.rs	*mut BufferHeader
js_zlib_create_brotli_compress	NR_HANDLE_ID	crates/perry-stdlib/src/zlib.rs	i64
js_zlib_create_brotli_decompress	NR_HANDLE_ID	crates/perry-stdlib/src/zlib.rs	i64
