phase,scope,category,dso,symbol,metadata_join,pgcm_function_ids,samples,period
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::header::is_registered_buffer,no_pgcm_function_at_start,,228,1185411584
between_phases,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_closure_cli_2_1_112_js__42821,exact_start_and_symbol,16:3,134,698017584
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::header::is_registered_buffer_slow,no_pgcm_function_at_start,,115,599396694
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::trace::trace_heap_rewrite_slots::{closure#0}::{closure#0},no_pgcm_function_at_start,,91,488204864
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::trace::ValidPointerSet>::contains,no_pgcm_function_at_start,,85,445708293
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::arena::walk::ArenaObjectCursor>::next_budgeted,no_pgcm_function_at_start,,76,395169019
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,no_pgcm_function_at_start,,71,371033872
between_phases,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memmove_avx512_unaligned_erms,not_application_dso,,71,370963291
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,trunc,no_pgcm_function_at_start,,70,362981494
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_packed_arraylike_index_get,no_pgcm_function_at_start,,69,357297587
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::layout::GcMutableSlotDescriptor>::visit_slots,no_pgcm_function_at_start,,62,332685909
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_is_symbol,no_pgcm_function_at_start,,48,249097269
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::box::is_registered_box_ptr,no_pgcm_function_at_start,,44,227886072
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::typedarray::lookup_registered_typed_array_kind,no_pgcm_function_at_start,,44,221271669
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::trace::drain_trace_worklist_step,no_pgcm_function_at_start,,39,208220750
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,compiler_builtins::math::libm_math::fmod::fmod,no_pgcm_function_at_start,,36,187224378
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::layout_slot_visit::visit_gc_layout_slot_descriptors,no_pgcm_function_at_start,,35,185028696
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::regex::js_regexp_new_impl,no_pgcm_function_at_start,,35,179692455
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_native_call_method,no_pgcm_function_at_start,,34,176960468
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::oldgen::IncrementalSweepState>::step,no_pgcm_function_at_start,,32,169216755
startup,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memmove_avx512_unaligned_erms,not_application_dso,,31,157003719
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_dyn_index_set_strict,no_pgcm_function_at_start,,30,156133481
between_phases,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_closure_cli_2_1_112_js__42817,exact_start_and_symbol,36:86,30,155872765
