phase,scope,category,dso,symbol,metadata_join,pgcm_function_ids,samples,period
between_phases,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_closure_cli_2_1_112_js__42821,exact_start_and_symbol,16:3,135,699200344
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::trace::ValidPointerSet>::contains,no_pgcm_function_at_start,,91,475813540
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,trunc,no_pgcm_function_at_start,,91,469081961
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::header::is_registered_buffer_slow,no_pgcm_function_at_start,,90,463241540
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::trace::trace_heap_rewrite_slots::{closure#0}::{closure#0},no_pgcm_function_at_start,,83,440038720
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_packed_arraylike_index_get,no_pgcm_function_at_start,,85,438646130
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_dyn_index_get,no_pgcm_function_at_start,,68,352435965
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::layout::GcMutableSlotDescriptor>::visit_slots,no_pgcm_function_at_start,,66,349471770
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::header::is_array_buffer,no_pgcm_function_at_start,,67,346531007
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_is_symbol,no_pgcm_function_at_start,,66,342025647
between_phases,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memmove_avx512_unaligned_erms,not_application_dso,,66,340837381
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::arena::walk::ArenaObjectCursor>::next_budgeted,no_pgcm_function_at_start,,55,283857895
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,compiler_builtins::math::libm_math::fmod::fmod,no_pgcm_function_at_start,,53,274717252
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::trace::drain_trace_worklist_step,no_pgcm_function_at_start,,51,270119697
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::typedarray::lookup_registered_typed_array_kind,no_pgcm_function_at_start,,51,260349548
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::typedarray::typed_array_fast_index_get,no_pgcm_function_at_start,,49,250982488
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_dyn_index_set_strict,no_pgcm_function_at_start,,43,222813826
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::malloc::gc_malloc_header_is_tracked,no_pgcm_function_at_start,,42,219470644
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_native_call_method,no_pgcm_function_at_start,,41,211700610
between_phases,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_closure_cli_2_1_112_js__42817,exact_start_and_symbol,36:86,40,205917450
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_dynamic_shl,no_pgcm_function_at_start,,38,196866938
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::header::is_registered_buffer,no_pgcm_function_at_start,,38,196588673
startup,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memmove_avx512_unaligned_erms,not_application_dso,,35,180778213
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_number_coerce,no_pgcm_function_at_start,,34,175971948
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,fmod,no_pgcm_function_at_start,,33,170079847
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::layout::HeapChildSlotIterator as core::iter::traits::iterator::Iterator>::next,no_pgcm_function_at_start,,28,147388571
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::arena::page_meta::old_page_account_swept_object,no_pgcm_function_at_start,,28,146584010
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::layout_slot_visit::visit_gc_layout_slot_descriptors,no_pgcm_function_at_start,,27,142602713
command,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memmove_avx512_unaligned_erms,not_application_dso,,27,141033069
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_dynamic_bitand,no_pgcm_function_at_start,,27,139065753
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::oldgen::IncrementalSweepState>::step,no_pgcm_function_at_start,,26,136536839
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_regexp_test,no_pgcm_function_at_start,,26,135592022
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_dynamic_shr,no_pgcm_function_at_start,,25,129657833
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::copying::CopyingNurseryCollector>::mark_addr,no_pgcm_function_at_start,,24,122995815
between_phases,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_closure_cli_2_1_112_js__42814,exact_start_and_symbol,74:14,23,119173582
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"<std::thread::local::LocalKey<core::cell::RefCell<std::collections::hash::map::HashMap<usize, perry_runtime::typedarray_view::ViewMeta, perry_runtime::fast_hash::PtrHasher>>>>::with::<perry_runtime::typedarray_view::view_meta_of::{closure#0}, core::option::Option<perry_runtime::typedarray_view::ViewMeta>>",no_pgcm_function_at_start,,23,119017411
startup,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_object_get_field_by_name,no_pgcm_function_at_start,,21,115870632
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<unicode_segmentation::grapheme::GraphemeCursor>::next_boundary,no_pgcm_function_at_start,,22,114233231
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::descriptor_state::get_accessor_descriptor,no_pgcm_function_at_start,,22,114034376
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::regex::js_regexp_new_impl,no_pgcm_function_at_start,,22,110985897
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::layout_slot_visit::visit_gc_layout_slot_descriptors.specialized.1,no_pgcm_function_at_start,,21,110355538
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::copying::CopyingNurseryCollector>::visit_slot_with_parent,no_pgcm_function_at_start,,21,108987549
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::typedarray::data_ptr,no_pgcm_function_at_start,,21,108344098
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::layout_slot_visit::visit_gc_rewrite_slot_descriptors::<perry_runtime::gc::layout_slot_visit::visit_gc_rewrite_slots<perry_runtime::gc::verify::restore_surviving_dirty_coverage::{closure#0}::{closure#0}>::{closure#0}>,no_pgcm_function_at_start,,20,105556274
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::access::read_buffer_byte,no_pgcm_function_at_start,,20,103676132
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_numeric_step,no_pgcm_function_at_start,,20,101848075
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::exception::try_push_with_kind,no_pgcm_function_at_start,,20,100847703
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_object_get_field_by_name,no_pgcm_function_at_start,,19,99574182
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::dead_owner::PostTraceProbe>::owner_is_dead,no_pgcm_function_at_start,,18,95148520
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_object_get_own_field_or_undef,no_pgcm_function_at_start,,18,94406841
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::typedarray::load_at,no_pgcm_function_at_start,,18,93381260
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::buffer::header::is_registered_buffer_slow,no_pgcm_function_at_start,,18,91445895
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::symbol::is_registered_symbol_slow,no_pgcm_function_at_start,,17,88219249
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<regex::regex::string::Regex>::find_at,no_pgcm_function_at_start,,17,85700259
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::object::shapes::shapes_store::ShapeSlab>::insert,no_pgcm_function_at_start,,16,85350453
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::box::is_registered_box_ptr,no_pgcm_function_at_start,,16,79547175
command,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memcmp_evex_movbe,not_application_dso,,15,78121716
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::closure::dynamic_props::is_closure_ptr,no_pgcm_function_at_start,,15,74863235
