phase,caller_body,entries,true,false,same_address_as_previous_at_site,entry_share_percent,negative_percent
1,perry_runtime::json::raw_json::raw_json_text_bytes,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::json::replacer::apply_to_json_keyed,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::json::stringify::stringify_value,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::object::class_registry::function_prototype::is_plain_async_function_value,1,0,1,0,0.0004986213120721206,100.0
1,perry_runtime::object::global_this::generator::closure_generator_kind,1,0,1,0,0.0004986213120721206,100.0
3,js_object_get_field_by_name,10133074,504,10132570,4686706,20.443676388145853,99.99502618849917
3,perry_runtime::closure::dynamic_props::is_closure_ptr,7002050,315,7001735,5089648,14.126773795752076,99.99550131747131
3,perry_runtime::object::object_ops::extract_obj_ptr,6664009,138,6663871,978138,13.444769419792204,99.9979291744654
3,perry_runtime::typed_feedback::normalize_raw_object_addr,4192338,507,4191831,2296173,8.458124492303778,99.98790650944652
3,perry_runtime::gc::trace::classifier_valid_object_start,3028217,21161,3007056,64146,6.109487444884136,99.30120595716886
3,perry_runtime::object::iterator_prototypes::prototype_next_is_canonical,2768524,0,2768524,2761007,5.585551702160185,100.0
3,perry_runtime::native_handle::canonical::is_canonical_handle_addr,1941076,1743,1939333,817871,3.9161590637546513,99.91020444330876
3,js_native_call_value,1673057,0,1673057,1568481,3.375425452031845,100.0
3,js_closure_call0,1614096,0,1614096,1545103,3.256470473165465,100.0
3,js_native_call_method,1268887,3789,1265098,644532,2.56000451601609,99.70139184970766
3,js_is_symbol,1264446,24,1264422,833013,2.5510447110408423,99.99810193555122
3,perry_runtime::object::field_get_set::get_field_by_name_tail::get_field_by_name_object_tail,1118486,63,1118423,507972,2.256567536038097,99.99436738591274
3,js_object_get_field_ic_miss,1115745,585,1115160,482947,2.2510375145480825,99.94756866488311
3,perry_runtime::object::keys_lookup::keys_find_slot_by_key_ptr,951995,0,951995,502020,1.9206686641322182,100.0
3,perry_runtime::object::native_call_method::primitive_methods::dispatch_primitive,594072,747,593325,154639,1.198551961552692,99.87425766573749
3,js_object_set_field_by_name,570324,0,570324,318647,1.1506399037836785,100.0
3,perry_runtime::map::is_registered_map,560652,0,560652,288634,1.1311264532723977,100.0
3,perry_runtime::set::is_registered_set,447460,0,447460,282221,0.9027593637073749,100.0
3,perry_runtime::object::native_call_method::handle_methods::dispatch_handle,384498,711,383787,206611,0.7757322885325129,99.81508356350358
3,js_for_of_next,316537,0,316537,261341,0.6386196323913675,100.0
3,perry_runtime::closure::registry::closure_is_arrow,161652,0,161652,98690,0.3261360940911468,100.0
3,js_object_get_class_id,159355,0,159355,111101,0.32150185134668735,100.0
3,perry_runtime::proxy::reflect_value_is_object,156871,0,156871,66704,0.31649033241885216,100.0
3,perry_runtime::proxy::raw_ptr_from_value,150429,0,150429,111987,0.3034934705295148,100.0
3,perry_runtime::proxy::prototype_of_for_set,103607,0,103607,17154,0.20902916326739818,100.0
3,js_closure_call2,103338,0,103338,32408,0.20848645046885242,100.0
3,js_closure_call1,102935,0,102935,47620,0.20767339003088237,100.0
3,js_object_get_symbol_property,99474,0,99474,89154,0.2006907543588866,100.0
3,perry_runtime::object::prototype_chain::object_set_static_prototype_impl,93589,0,93589,167,0.18881765094088745,100.0
3,js_closure_call1_receiverless,87201,0,87201,23634,0.17592973511519866,100.0
3,perry_runtime::object::interned_key_ptr,84286,0,84286,35608,0.17004866519787198,100.0
3,js_array_is_array,80918,0,80918,11188,0.16325365885771545,100.0
3,perry_runtime::array::iterator::is_builtin_iterator_class_id,80713,0,80713,60985,0.16284006731979025,100.0
3,perry_runtime::object::descriptor_state::class_instance_set_may_intercept,66131,0,66131,52295,0.13342059509527646,100.0
3,perry_runtime::object::descriptor_state::note_descriptor_target,42294,0,42294,28345,0.0853289780732126,100.0
3,perry_runtime::array::generic::classify_pointer,38993,12,38981,24029,0.07866914555276822,99.9692252455569
3,js_closure_call4,36890,0,36890,9933,0.07442630162956478,100.0
3,perry_runtime::object::class_registry::parent_static::is_registered_class_prototype_object,30996,0,30996,21438,0.06253504053429086,100.0
3,js_closure_call3,30268,0,30268,15189,0.06106628619473209,100.0
3,js_object_has_own,22904,0,22904,20471,0.04620927114457988,100.0
3,<perry_runtime::gc::copying::CopyingNurseryCollector>::visit_slot_with_parent,21958,21958,0,18266,0.044300697511032355,0.0
3,js_value_is_promise,21523,94,21429,9706,0.04342307644275204,99.56325791014264
3,perry_runtime::symbol::get::heap_ptr_and_type_from_value_bits,20652,0,20652,18748,0.041665816786494225,100.0
3,perry_runtime::gc::verify::remember_evacuated_old_to_young_slot,18070,18070,0,14558,0.03645658092833385,0.0
3,js_array_at,16376,0,16376,15375,0.033038902561283626,100.0
3,perry_runtime::node_stream::readwrite::object_ptr_from_value,13298,0,13298,12484,0.026828976933313972,100.0
3,perry_runtime::closure::dispatch::direct::resolve_direct_func_ptr,10943,0,10943,714,0.022077718046417116,100.0
3,perry_runtime::array::iter_methods::resolve_callback_ptr,9766,0,9766,21,0.019703097362817286,100.0
3,js_for_in_keys_stable_value,8266,0,8266,350,0.01667681781702311,100.0
3,js_array_length,6459,0,6459,6390,0.013031159724189724,100.0
3,js_array_map,6187,0,6187,249,0.01248239436655238,100.0
3,js_closure_call5,5749,0,5749,4464,0.01159872073918048,100.0
3,js_dynamic_object_get_property,4765,12,4753,144,0.0096134813571395,99.74816369359917
3,perry_runtime::closure::registry::closure_length,4301,0,4301,1715,0.008677352217640502,100.0
3,perry_runtime::json::stringify::stringify_value_depth,3355,0,3355,0,0.006768778584092975,100.0
3,js_array_join,3249,0,3249,1,0.006554921496190186,100.0
3,js_array_slice,2991,0,2991,4,0.006034401414313588,100.0
3,perry_runtime::json::stringify::stringify_object_inner,2976,0,2976,0,0.006004138618855646,100.0
3,perry_runtime::promise::assimilate::get_then_action,2495,12,2483,7,0.005033711644504313,99.5190380761523
3,perry_runtime::json::stringify::is_symbol_value,2444,0,2444,541,0.0049308181399473116,100.0
3,perry_runtime::json::stringify::ptr_is_tracked_heap_object,2243,0,2243,827,0.004525296680810892,100.0
3,perry_runtime::closure::registry::closure_is_bound_method,2026,0,2026,1510,0.004087494906519334,100.0
3,perry_runtime::object::class_registry::construct::bound_function_target_ptr,2022,0,2022,1528,0.00407942482773055,100.0
3,perry_runtime::object::class_registry::construct::extends_target_must_throw,1824,0,1824,1407,0.0036799559276857186,100.0
3,perry_runtime::set::is_string_like,1817,0,1817,285,0.003665833289805346,100.0
3,js_assimilate_thenable,1797,36,1761,29,0.0036254828958614234,97.9966611018364
3,js_closure_call6,1547,0,1547,968,0.003121102971562394,100.0
3,js_array_includes_jsvalue,1504,0,1504,69,0.003034349624582961,100.0
3,js_object_delete_field,1371,0,1371,203,0.0027660195048558774,100.0
3,perry_runtime::object::global_this::generator::closure_generator_kind,1297,0,1297,1097,0.0026167230472633647,100.0
3,perry_runtime::native_handle::canonical::canonical_handle_value_with_policy,1288,1288,0,127,0.0025985653699886,0.0
3,js_array_filter,1285,0,1285,113,0.0025925128108970114,100.0
3,perry_runtime::text::is_known_text_decoder_id,1044,1044,0,1005,0.002106290563872747,0.0
3,perry_runtime::object::global_this::generator::generator_function_proto_of,1032,0,1032,1030,0.0020820803275063936,100.0
3,perry_runtime::object::native_module::get_module_name_from_namespace,952,801,151,853,0.001920678751730704,15.861344537815127
3,perry_runtime::object::native_call_method::proto_dispatch::try_dispatch_instance_method_value,935,801,134,906,0.00188638091687837,14.331550802139038
3,js_text_decoder_decode_llvm,801,801,0,798,0.0016160332774540903,0.0
3,perry_runtime::object::class_handles::composite_handle_method_dispatch,759,735,24,468,0.0015312974501718534,3.1620553359683794
3,js_generator_attach_closure_prototype,669,0,669,261,0.0013497206774242027,100.0
3,js_array_indexOf_jsvalue,664,0,664,330,0.001339633078938222,100.0
3,perry_runtime::fs::dirent::options_object_ptr,663,0,663,525,0.001337615559241026,100.0
3,js_instanceof,642,36,606,49,0.0012952476455999075,94.39252336448598
3,perry_runtime::json::stringify::is_closure_value,604,0,604,199,0.0012185818971064551,100.0
3,js_array_some,587,0,587,53,0.001184284062254121,100.0
3,js_object_entries_value,573,0,573,17,0.0011560387864933755,100.0
3,perry_runtime::array::iterator::entries_array_for_small_handle_id,549,24,525,10,0.0011076183137606686,95.62841530054645
3,js_object_set_prototype_of,486,0,486,0,0.0009805145728373132,100.0
3,js_array_find,485,0,485,26,0.0009784970531401171,100.0
3,perry_runtime::node_inspector::is_callable_value,473,0,473,111,0.0009542868167737637,100.0
3,perry_runtime::object::native_module::class_id_from_method_receiver,368,30,338,173,0.0007424472485681713,91.84782608695652
3,js_object_has_property,334,0,334,7,0.0006738515788635033,100.0
3,perry_runtime::array::generic::non_array_object_receiver,317,0,317,42,0.0006395537440111694,100.0
3,perry_runtime::closure::dynamic_props::scan_closure_owner,312,312,0,8,0.0006294661455251888,0.0
3,js_closure_call_array,294,0,294,244,0.0005931507909756586,100.0
3,js_array_flatMap,289,0,289,216,0.000583063192489678,100.0
3,perry_runtime::promise::spec_combinators::perform,280,0,280,140,0.0005649055152149129,100.0
3,perry_runtime::json::raw_json::raw_json_text_bytes,254,0,254,10,0.0005124500030878139,100.0
3,perry_runtime::object::class_handles::canonical_event_emitter_handle_probe,252,0,252,237,0.0005084149636934216,100.0
3,perry_runtime::object::class_handles::composite_handle_property_dispatch,252,252,0,237,0.0005084149636934216,0.0
3,js_array_clone,243,0,243,3,0.0004902572864186566,100.0
3,perry_runtime::text::text_handle_property,240,240,0,225,0.00048420472732706827,0.0
3,perry_runtime::array::generic::as_real_array,207,0,207,192,0.00041762657731959636,100.0
3,perry_runtime::timer::arg_to_timer_id,195,195,0,63,0.00039341634095324296,0.0
3,perry_runtime::json::replacer::apply_to_json_keyed,189,0,189,10,0.00038131122277006624,100.0
3,perry_runtime::json::stringify::stringify_value,184,0,184,10,0.00037122362428408564,100.0
3,js_array_find_last,168,0,168,111,0.0003389433091289478,100.0
3,perry_runtime::promise::spec_combinators::is_callable,165,0,165,148,0.00033289075003735944,100.0
3,js_array_every,88,0,88,25,0.00017754173335325836,100.0
3,perry_runtime::object::instanceof::small_native_handle_id,86,24,62,0,0.00017350669395886612,72.09302325581395
3,js_validate_array_comparator,85,0,85,24,0.00017148917426167,100.0
3,js_object_values_value,83,0,83,57,0.00016745413486727776,100.0
