stage,category,callee,callsites,statepoints,leaf_callsites,gc_live_operands,gc_relocate_intrinsics,relocates_attributed,relocates_unattributed
post-opt,external-unclassified,js_fetch_response_ok,3,3,0,10,0,20,0
post-opt,external-unclassified,js_fetch_response_status,6,6,0,26,0,48,0
post-opt,external-unclassified,js_fetch_response_text,1,1,0,3,0,6,0
post-opt,external-unclassified,js_file_new,6,6,0,21,0,36,0
post-opt,external-unclassified,js_form_data_new,4,4,0,11,0,17,0
post-opt,external-unclassified,js_headers_append,5,5,0,30,0,35,0
post-opt,external-unclassified,js_headers_delete,10,10,0,70,0,80,0
post-opt,external-unclassified,js_headers_get,1,1,0,3,0,6,0
post-opt,external-unclassified,js_headers_has,2,2,0,6,0,12,0
post-opt,external-unclassified,js_headers_set,5,5,0,17,0,32,0
post-opt,external-unclassified,js_http_agent_new,2,2,0,4,0,7,0
post-opt,external-unclassified,js_http_client_request_destroy,5,5,0,10,0,10,0
post-opt,external-unclassified,js_http_client_request_end_full,1,1,0,4,0,4,0
post-opt,external-unclassified,js_http_on,3,3,0,6,0,6,0
post-opt,external-unclassified,js_http_request_overload,4,4,0,11,0,14,0
post-opt,external-unclassified,js_http_status_code,1,1,0,3,0,3,0
post-opt,external-unclassified,js_https_agent_new,2,2,0,2,0,2,0
post-opt,external-unclassified,js_https_request_overload,2,2,0,5,0,5,0
post-opt,external-unclassified,js_net_block_list_add_address,1,1,0,1,0,1,0
post-opt,external-unclassified,js_net_block_list_add_subnet,2,2,0,2,0,2,0
post-opt,external-unclassified,js_net_block_list_new,2,2,0,3,0,3,0
post-opt,external-unclassified,js_net_is_ip,10,10,0,25,0,27,0
post-opt,external-unclassified,js_net_server_once,1,1,0,3,0,3,0
post-opt,external-unclassified,js_net_socket_destroy,3,3,0,4,0,4,0
post-opt,external-unclassified,js_net_socket_set_timeout,2,2,0,3,0,3,0
post-opt,external-unclassified,js_node_http2_connect,1,1,0,3,0,3,0
post-opt,external-unclassified,js_node_http_create_server_with_options,7,7,0,11,0,11,0
post-opt,external-unclassified,js_node_http_server_close,2,2,0,0,0,0,0
post-opt,external-unclassified,js_node_http_server_listen,2,2,0,0,0,0,0
post-opt,external-unclassified,js_node_http_server_on,2,2,0,3,0,3,0
post-opt,external-unclassified,js_node_stream_method_on,4,4,0,12,0,24,0
post-opt,external-unclassified,js_node_stream_method_once,1,1,0,3,0,6,0
post-opt,external-unclassified,js_path_basename_ext_value,8,8,0,34,0,45,0
post-opt,external-unclassified,js_path_join_value,1325,1297,0,3604,0,5895,0
post-opt,external-unclassified,js_path_resolve_join_value,83,83,0,319,0,411,0
post-opt,external-unclassified,js_path_win32_join_value,12,12,0,8,0,12,0
post-opt,external-unclassified,js_process_get_active_handles,1,1,0,3,0,6,0
post-opt,external-unclassified,js_process_get_active_requests,1,1,0,3,0,6,0
post-opt,external-unclassified,js_readable_stream_new_with_strategy_and_source_type,7,7,0,13,0,16,0
post-opt,external-unclassified,js_readline_create_interface,3,3,0,15,0,15,0
post-opt,external-unclassified,js_readline_on,3,3,0,11,0,11,0
post-opt,external-unclassified,js_readline_stdin_pause,2,2,0,7,0,13,0
post-opt,external-unclassified,js_readline_stdin_ref,1,0,0,0,0,0,0
post-opt,external-unclassified,js_readline_stdin_resume,1,1,0,3,0,6,0
post-opt,external-unclassified,js_request_input_to_url,1,1,0,1,0,1,0
post-opt,external-unclassified,js_request_new_from_init,1,1,0,0,0,0,0
post-opt,external-unclassified,js_response_blob,1,1,0,3,0,6,0
post-opt,external-unclassified,js_response_body,2,2,0,9,0,17,0
post-opt,external-unclassified,js_response_body_init_ptr,6,6,0,18,0,36,0
post-opt,external-unclassified,js_response_body_init_reset,6,6,0,18,0,36,0
post-opt,external-unclassified,js_shadow_frame_enter,7,0,0,0,0,0,0
post-opt,external-unclassified,js_stream_unwrap_handle,3,3,0,48,0,52,0
post-opt,external-unclassified,js_stream_web_text_decoder_stream_new,1,1,0,5,0,9,0
post-opt,external-unclassified,js_string_bold,87,86,0,339,0,410,0
post-opt,external-unclassified,js_string_link,4,4,0,11,0,11,0
post-opt,external-unclassified,js_string_sub,12,12,0,20,0,20,0
post-opt,external-unclassified,js_transform_stream_new,4,4,0,49,0,53,0
post-opt,external-unclassified,js_transform_stream_new_from_transformer_object,1,1,0,0,0,0,0
post-opt,external-unclassified,js_transform_stream_readable,3,3,0,48,0,52,0
post-opt,external-unclassified,js_transform_stream_subclass_init,1,1,0,1,0,1,0
post-opt,external-unclassified,js_url_create_object_url,1,1,0,0,0,0,0
post-opt,external-unclassified,js_url_revoke_object_url,1,1,0,1,0,1,0
post-opt,external-unclassified,js_vm_run_in_context,3,3,0,22,0,31,0
post-opt,external-unclassified,js_zlib_create_brotli_decompress,1,1,0,5,0,5,0
post-opt,external-unclassified,js_zlib_create_gunzip,1,1,0,1,0,1,0
post-opt,external-unclassified,js_zlib_create_inflate,1,1,0,1,0,1,0
post-opt,external-unclassified,js_zlib_create_unzip,2,2,0,10,0,10,0
post-opt,external-unclassified,js_zlib_deflate_sync,1,1,0,1,0,1,0
post-opt,inline-asm,<inline-asm>,2208830,0,2208830,0,0,0,0
post-opt,runtime,js_abort_controller_new,83,82,0,384,0,515,0
post-opt,runtime,js_abort_signal_abort,1,1,0,0,0,0,0
post-opt,runtime,js_abort_signal_any,1,1,0,1,0,1,0
post-opt,runtime,js_abort_signal_timeout,21,21,0,73,0,118,0
post-opt,runtime,js_arguments_object_alloc,179,179,0,517,0,517,0
post-opt,runtime,js_array_alloc,8478,8244,0,57321,0,62177,0
post-opt,runtime,js_array_alloc_with_length,133,133,0,615,0,681,0
post-opt,runtime,js_array_at,71,65,0,349,0,384,0
post-opt,runtime,js_array_buffer_new_value,28,27,0,47,0,47,0
post-opt,runtime,js_array_clone_for_spread,323,307,0,993,0,1223,0
post-opt,runtime,js_array_concat,357,350,0,1183,0,1548,0
post-opt,runtime,js_array_concat_variadic,116,116,0,1657,0,1665,0
post-opt,runtime,js_array_constructor_single,120,120,0,602,0,608,0
post-opt,runtime,js_array_copy_within,6,6,0,40,0,40,0
post-opt,runtime,js_array_declare_all_pointer_elements,150,6,144,30,0,36,0
post-opt,runtime,js_array_entries_iter_obj,8,8,0,26,0,35,0
post-opt,runtime,js_array_every,28,28,0,139,0,163,0
post-opt,runtime,js_array_fill,36,36,0,275,0,278,0
post-opt,runtime,js_array_fill_range,1,1,0,3,0,3,0
post-opt,runtime,js_array_filter,422,417,0,1552,0,2053,0
post-opt,runtime,js_array_find,92,92,0,261,0,387,0
post-opt,runtime,js_array_findIndex,15,15,0,44,0,54,0
post-opt,runtime,js_array_find_last,17,15,0,31,0,43,0
post-opt,runtime,js_array_find_last_index,3,1,0,6,0,6,0
post-opt,runtime,js_array_flat,19,19,0,70,0,118,0
post-opt,runtime,js_array_flatMap,68,66,0,167,0,209,0
post-opt,runtime,js_array_forEach,190,190,0,345,0,420,0
post-opt,runtime,js_array_from_mapped,25,25,0,51,0,66,0
post-opt,runtime,js_array_from_value,188,186,0,763,0,940,0
post-opt,runtime,js_array_from_values,25158,11940,0,371103,0,375288,0
post-opt,runtime,js_array_get_f64,27,27,0,47,0,47,0
post-opt,runtime,js_array_get_index_or_string,1079,1079,0,5653,0,5704,0
post-opt,runtime,js_array_includes_jsvalue,223,197,0,708,0,873,0
post-opt,runtime,js_array_indexOf_jsvalue,62,62,0,290,0,297,0
post-opt,runtime,js_array_is_array,996,989,0,3778,0,4323,0
post-opt,runtime,js_array_join_value,650,647,0,2677,0,3125,0
post-opt,runtime,js_array_last_index_of_jsvalue,3,3,0,6,0,6,0
post-opt,runtime,js_array_length,1631,1611,0,7458,0,9065,0
post-opt,runtime,js_array_like_to_array,238,238,0,1177,0,1226,0
post-opt,runtime,js_array_live_head,53,21,32,81,0,138,0
post-opt,runtime,js_array_map,497,491,0,1972,0,2500,0
post-opt,runtime,js_array_mark_arguments_object,7,7,0,23,0,29,0
post-opt,runtime,js_array_note_numeric_write,2238,550,1655,3814,0,4566,0
post-opt,runtime,js_array_numeric_value_to_raw_f64,28,0,28,0,0,0,0
post-opt,runtime,js_array_pop_f64,44,44,0,273,0,296,0
post-opt,runtime,js_array_push_f64,7774,7727,0,41696,0,43532,0
post-opt,runtime,js_array_push_f64_spec,6005,5972,0,23222,0,28001,0
post-opt,runtime,js_array_push_guard,41,41,0,142,0,149,0
post-opt,runtime,js_array_push_hole,132,132,0,485,0,495,0
post-opt,runtime,js_array_push_spread_f64,5,5,0,13,0,16,0
post-opt,runtime,js_array_reduce,87,87,0,239,0,266,0
post-opt,runtime,js_array_reduce_right,2,2,0,2,0,2,0
post-opt,runtime,js_array_refresh_local_head,211,200,0,2262,0,2262,0
post-opt,runtime,js_array_reverse,33,33,0,93,0,88,0
post-opt,runtime,js_array_set_f64,103,92,0,2045,0,2045,0
post-opt,runtime,js_array_set_f64_extend_strict,193,182,0,2127,0,2127,0
post-opt,runtime,js_array_set_f64_unchecked,265,265,0,2213,0,2320,0
post-opt,runtime,js_array_set_length_strict,29,29,0,48,0,54,0
post-opt,runtime,js_array_shift_f64,31,31,0,91,0,111,0
post-opt,runtime,js_array_slice_values,110,110,0,407,0,510,0
post-opt,runtime,js_array_some,70,66,0,232,0,296,0
post-opt,runtime,js_array_some_captureless,53,53,0,220,0,277,0
post-opt,runtime,js_array_sort_default,44,44,0,154,0,185,0
post-opt,runtime,js_array_sort_with_comparator,167,167,0,766,0,892,0
post-opt,runtime,js_array_splice,59,51,0,109,0,114,0
post-opt,runtime,js_array_splice_delete_count,118,102,0,297,0,305,0
post-opt,runtime,js_array_spread_append,1857,1807,0,9134,0,10637,0
post-opt,runtime,js_array_subclass_init_args,2,2,0,3,0,3,0
post-opt,runtime,js_array_unshift_f64,25,25,0,96,0,108,0
post-opt,runtime,js_array_unshift_variadic,2,2,0,4,0,4,0
post-opt,runtime,js_arraylike_filter,1,1,0,0,0,0,0
post-opt,runtime,js_arraylike_forEach,1,1,0,1,0,1,0
post-opt,runtime,js_arraylike_indexOf,2,2,0,3,0,3,0
post-opt,runtime,js_arraylike_join,1,1,0,1,0,1,0
post-opt,runtime,js_arraylike_map,1,1,0,3,0,3,0
post-opt,runtime,js_arraylike_slice,25,25,0,62,0,62,0
post-opt,runtime,js_arraylike_splice,2,2,0,5,0,5,0
post-opt,runtime,js_assimilate_thenable,337,289,0,323,0,617,0
post-opt,runtime,js_async_first_call,3206,3206,0,0,0,0,0
post-opt,runtime,js_async_fn_result,1164,995,0,40,0,40,0
post-opt,runtime,js_async_generator_resume,201,201,0,3,0,6,0
post-opt,runtime,js_async_step_chain,4023,3808,0,676,0,676,0
post-opt,runtime,js_async_step_done,4525,4303,0,1185,0,1185,0
post-opt,runtime,js_atob,9,9,0,9,0,15,0
post-opt,runtime,js_atomics_load,1,1,0,1,0,1,0
post-opt,runtime,js_atomics_store,1,1,0,0,0,0,0
post-opt,runtime,js_await_any_promise,337,289,0,323,0,617,0
post-opt,runtime,js_await_loop_tick_timers,337,289,0,612,0,906,0
post-opt,runtime,js_bigint_as_int_n_call,4,4,0,10,0,10,0
post-opt,runtime,js_bigint_as_uint_n_call,2,2,0,3,0,3,0
post-opt,runtime,js_bigint_from_f64,60,60,0,145,0,156,0
post-opt,runtime,js_bigint_from_i128_parts,13,13,0,36,0,49,0
post-opt,runtime,js_blob_new,5,5,0,9,0,10,0
post-opt,runtime,js_bool_box_alloc,6686,0,6686,0,0,0,0
