phase,symbol,linked_ip,symbol_offset,instruction,samples,period,phase_percent,focus_region
command,js_native_call_method,0x1185a931,9985,"movabs $0x7fffffffffffffff,%rsi",1,5335594,0.028199449276017356,
command,js_native_call_method,0x1185aa70,10304,"shr $0x22,%rdx",1,5240361,0.027696127967667628,
command,js_native_call_method,0x1185ab52,10530,"cmp %rdx,%rcx",1,5243948,0.027715085824009972,
command,js_native_call_method,0x1185ac21,10737,jae 1185b714 <js_native_call_method+0x34e4>,1,5257619,0.02778733919843322,
command,js_native_call_method,0x1185ac52,10786,"mov %r14,%rax",2,10602657,0.056036701492375614,
command,js_native_call_method,0x1185ae92,11362,jne 1185b727 <js_native_call_method+0x34f7>,1,5280264,0.027907021567229535,
command,js_native_call_method,0x1185b170,12096,"movabs $0x7fffffffffffffff,%rdx",1,5002379,0.02643835585502091,
command,js_native_call_method,0x1185b17d,12109,jae 1185b714 <js_native_call_method+0x34e4>,1,5237600,0.02768153565058895,
command,js_native_call_method,0x1185b1aa,12154,"cmpq $0x0,(%rdx,%r15,8)",1,5112178,0.027018660752855608,
command,js_native_call_method,0x1185b26c,12348,call 1170c0d0 <_RNvNtNtNtCscI5nJwKNRh4_13perry_runtime6object18native_call_method14handle_methods15dispatch_handle>,1,5350118,0.028276210888929596,
command,js_native_call_method,0x1185b49b,12907,"test %rax,%rax",1,5259111,0.02779522465192159,
command,js_native_call_method,0x1185b4d4,12964,"mov -0xd0(%rbp),%rdi",1,5258542,0.02779221739787676,
command,js_native_call_method,0x1185b4db,12971,call *0x3ad690f(%rip)        # 15331df0 <_GLOBAL_OFFSET_TABLE_+0x1ad70>,1,5257503,0.027786726120279968,
command,js_native_call_method,0x1185b641,13329,"lea -0x108(%rbp),%rdi",1,5250972,0.02775220876322063,
command,js_native_call_method,0x1185b6f2,13506,jmp 1185b466 <js_native_call_method+0x3236>,1,5010466,0.026481096915584205,
command,js_native_call_method,0x1185be7d,15437,"and %rdx,%rbx",1,4894886,0.025870238528060325,
command,js_native_call_method,0x1185be86,15446,call *0x3acb6fc(%rip)        # 15327588 <_GLOBAL_OFFSET_TABLE_+0x10508>,8,40706997,0.21514284952724863,
